,elevation,slope,distance_to_river,distance_to_coast,land_cover,soil_type,ndvi,rainfall
elevation,1.0,0.6722493066570513,-0.49947582069241603,0.8454179936954883,-0.6895476970789816,0.06946745689336879,-0.6922157659038554,0.04998534914508451
slope,0.6722493066570513,1.0,-0.14458463656674977,0.4252746810617447,-0.5238772860620585,-0.07489043092350439,-0.5231919264417766,0.0812907269366127
distance_to_river,-0.49947582069241603,-0.14458463656674977,1.0,-0.6070949569585404,0.19474473496743064,-0.19209483234813216,0.22065749133359425,0.22595462010316936
distance_to_coast,0.8454179936954883,0.4252746810617447,-0.6070949569585404,1.0,-0.5975265686006234,0.22326575462896206,-0.6339527411637986,0.15915175129537998
land_cover,-0.6895476970789816,-0.5238772860620585,0.19474473496743064,-0.5975265686006234,1.0,0.10775556003076363,0.5501710673617207,-0.18996340381461804
soil_type,0.06946745689336879,-0.07489043092350439,-0.19209483234813216,0.22326575462896206,0.10775556003076363,1.0,-0.21718998166878292,0.3338007374240732
ndvi,-0.6922157659038554,-0.5231919264417766,0.22065749133359425,-0.6339527411637986,0.5501710673617207,-0.21718998166878292,1.0,-0.29567029200178213
rainfall,0.04998534914508451,0.0812907269366127,0.22595462010316936,0.15915175129537998,-0.18996340381461804,0.3338007374240732,-0.29567029200178213,1.0
