,elevation,slope,distance_to_river,distance_to_coast,land_cover,soil_type,ndvi,rainfall
elevation,1.0,0.43117818382974593,-0.22666407521051116,0.6139014961756942,-0.5690988914436936,-0.25295137427878034,-0.3229769336815546,-0.20715167314547966
slope,0.43117818382974593,1.0,-0.050116987406260784,0.29089744259344785,-0.541763206008323,-0.11511575846515204,-0.42612945632355104,-0.010883943547574049
distance_to_river,-0.22666407521051116,-0.050116987406260784,1.0,-0.3443102459576045,-0.0486458814241463,-0.10116309994863168,0.09418062918169767,0.23306173544344475
distance_to_coast,0.6139014961756942,0.29089744259344785,-0.3443102459576045,1.0,-0.5034632270807317,0.054041225376011706,-0.44575009676939725,0.13537427625836038
land_cover,-0.5690988914436936,-0.541763206008323,-0.0486458814241463,-0.5034632270807317,1.0,0.17838078411282246,0.4975454052834008,-0.11410488104751833
soil_type,-0.25295137427878034,-0.11511575846515204,-0.10116309994863168,0.054041225376011706,0.17838078411282246,1.0,-0.2762608129709678,0.40989168816517874
ndvi,-0.3229769336815546,-0.42612945632355104,0.09418062918169767,-0.44575009676939725,0.4975454052834008,-0.2762608129709678,1.0,-0.290641910405126
rainfall,-0.20715167314547966,-0.010883943547574049,0.23306173544344475,0.13537427625836038,-0.11410488104751833,0.40989168816517874,-0.290641910405126,1.0
