label,kecamatan,wo_value,lat,lon
1,SARUDIK,5,188948.69690870907,474196.0788288944
1,SARUDIK,2,189476.69690870907,473844.0788288944
1,SARUDIK,2,189548.69690870907,473908.0788288944
1,SARUDIK,2,188972.69690870907,474076.0788288944
1,SARUDIK,1,189532.69690870907,473820.0788288944
1,SARUDIK,82,188860.69690870907,473852.0788288944
1,SARUDIK,83,188836.69690870907,473940.0788288944
1,SARUDIK,64,188708.69690870907,473804.0788288944
1,SARUDIK,3,188596.69690870907,473668.0788288944
1,SARUDIK,89,189084.69690870907,473564.0788288944
1,SARUDIK,27,188948.69690870907,473364.0788288944
1,SARUDIK,2,188796.69690870907,474172.0788288944
1,SARUDIK,29,189116.69690870907,473420.0788288944
1,SARUDIK,20,188788.69690870907,473516.0788288944
1,SARUDIK,2,188692.69690870907,474188.0788288944
1,SARUDIK,28,189372.69690870907,473940.0788288944
1,SARUDIK,98,188852.69690870907,473756.0788288944
1,SARUDIK,98,189124.69690870907,473652.0788288944
1,SARUDIK,3,189004.69690870907,474052.0788288944
1,BADIRI,4,174132.69690870907,473148.0788288944
1,BADIRI,3,174228.69690870907,473108.0788288944
1,BADIRI,4,174116.69690870907,473196.0788288944
1,BADIRI,6,174140.69690870907,473164.0788288944
1,BADIRI,2,174108.69690870907,473148.0788288944
1,BADIRI,5,174028.69690870907,473292.0788288944
1,BADIRI,-1,174196.69690870907,472940.0788288944
1,BADIRI,0,174036.69690870907,473212.0788288944
1,BADIRI,14,174164.69690870907,473092.0788288944
1,BADIRI,5,174124.69690870907,473252.0788288944
1,BADIRI,-1,174292.69690870907,473028.0788288944
1,BADIRI,5,174148.69690870907,473268.0788288944
1,BADIRI,19,174236.69690870907,473052.0788288944
1,BADIRI,3,173988.69690870907,473260.0788288944
1,BADIRI,4,174164.69690870907,472964.0788288944
1,BADIRI,-3,173932.69690870907,473412.0788288944
1,BADIRI,6,174028.69690870907,473268.0788288944
1,BADIRI,2,174012.69690870907,473324.0788288944
1,BADIRI,2,173980.69690870907,473268.0788288944
1,BADIRI,-2,173948.69690870907,473268.0788288944
1,BADIRI,4,174060.69690870907,473324.0788288944
1,BADIRI,8,174172.69690870907,472972.0788288944
1,BADIRI,4,173988.69690870907,473372.0788288944
1,BADIRI,4,174076.69690870907,473196.0788288944
1,BADIRI,0,174044.69690870907,473236.0788288944
1,BADIRI,23,174228.69690870907,473044.0788288944
1,LUMUT,55,169172.69690870907,494028.0788288944
1,LUMUT,446,177948.69690870907,496004.0788288944
1,LUMUT,128,166564.69690870907,491940.0788288944
1,LUMUT,12,167172.69690870907,490244.0788288944
1,LUMUT,190,178228.69690870907,493932.0788288944
1,LUMUT,81,165580.69690870907,493756.0788288944
1,LUMUT,14,169172.69690870907,492092.0788288944
1,LUMUT,143,167148.69690870907,491604.0788288944
1,LUMUT,434,178108.69690870907,495444.0788288944
1,LUMUT,126,172444.69690870907,493836.0788288944
1,LUMUT,177,175196.69690870907,492796.0788288944
1,LUMUT,300,180324.69690870907,494884.0788288944
1,LUMUT,51,168580.69690870907,493596.0788288944
1,LUMUT,68,169356.69690870907,493236.0788288944
1,LUMUT,859,183260.69690870907,497372.0788288944
1,LUMUT,140,174588.69690870907,492692.0788288944
1,LUMUT,19,168556.69690870907,490812.0788288944
1,LUMUT,478,178284.69690870907,495956.0788288944
1,LUMUT,120,165724.69690870907,492316.0788288944
1,LUMUT,263,172620.69690870907,492596.0788288944
1,LUMUT,301,179444.69690870907,495100.0788288944
1,LUMUT,525,181884.69690870907,496204.0788288944
1,LUMUT,15,164156.69690870907,492524.0788288944
1,LUMUT,8,169556.69690870907,490100.0788288944
1,LUMUT,301,179372.69690870907,494876.0788288944
1,LUMUT,13,168300.69690870907,490700.0788288944
1,SORKAM,2,204620.69690870907,449532.0788288944
1,SORKAM,0,204476.69690870907,449268.0788288944
1,SORKAM,4,204700.69690870907,449380.0788288944
1,SORKAM,9,204716.69690870907,449452.0788288944
1,SORKAM,5,204652.69690870907,449348.0788288944
1,SORKAM,0,204460.69690870907,449268.0788288944
1,SORKAM,-1,204572.69690870907,449532.0788288944
1,SORKAM,6,204572.69690870907,449316.0788288944
1,SORKAM,0,204460.69690870907,449388.0788288944
1,SORKAM,3,204892.69690870907,449660.0788288944
1,SORKAM,2,204564.69690870907,449492.0788288944
1,SORKAM,8,204708.69690870907,449316.0788288944
1,SORKAM,6,204684.69690870907,449596.0788288944
1,SORKAM,8,204588.69690870907,449484.0788288944
1,SORKAM,8,204540.69690870907,449332.0788288944
1,SORKAM,5,204668.69690870907,449628.0788288944
1,SORKAM,2,204884.69690870907,449356.0788288944
1,SIBABANGUN,446,172844.69690870907,499460.0788288944
1,SIBABANGUN,793,183148.69690870907,506220.0788288944
1,SIBABANGUN,895,186484.69690870907,505860.0788288944
1,SIBABANGUN,447,175068.69690870907,501380.0788288944
1,SIBABANGUN,30,167092.69690870907,494796.0788288944
1,SIBABANGUN,233,172868.69690870907,497684.0788288944
1,SIBABANGUN,479,174940.69690870907,498260.0788288944
1,SIBABANGUN,834,181812.69690870907,503460.0788288944
1,MANDUAMAS,7,231444.69690870907,408668.0788288944
1,MANDUAMAS,6,231636.69690870907,408572.0788288944
1,MANDUAMAS,9,231524.69690870907,408844.0788288944
1,MANDUAMAS,4,231844.69690870907,408724.0788288944
1,MANDUAMAS,4,231564.69690870907,408732.0788288944
1,MANDUAMAS,4,231572.69690870907,408684.0788288944
1,MANDUAMAS,8,231428.69690870907,408724.0788288944
1,MANDUAMAS,8,231572.69690870907,408516.0788288944
1,SOSORGADONG,4,217964.69690870907,428148.0788288944
1,SOSORGADONG,2,217860.69690870907,427572.0788288944
1,SOSORGADONG,8,217860.69690870907,427660.0788288944
1,SOSORGADONG,2,217860.69690870907,427628.0788288944
1,SOSORGADONG,5,218100.69690870907,427660.0788288944
1,SOSORGADONG,3,218132.69690870907,427620.0788288944
1,SOSORGADONG,5,218132.69690870907,428204.0788288944
1,SOSORGADONG,8,218388.69690870907,427772.0788288944
1,TAPIANNAULI,1,172540.69690870907,453300.0788288944
1,TAPIANNAULI,0,172516.69690870907,453324.0788288944
1,TAPIANNAULI,0,172564.69690870907,453292.0788288944
1,TAPIANNAULI,0,172556.69690870907,453292.0788288944
1,TAPIANNAULI,0,172572.69690870907,453300.0788288944
1,TAPIANNAULI,1,172564.69690870907,453300.0788288944
1,TAPIANNAULI,0,172524.69690870907,453324.0788288944
1,TAPIANNAULI,2,172548.69690870907,453316.0788288944
1,PASARIBUTOBING,509,218700.69690870907,457452.0788288944
1,PASARIBUTOBING,11,217844.69690870907,459420.0788288944
1,PASARIBUTOBING,372,220348.69690870907,457268.0788288944
1,PASARIBUTOBING,65,221652.69690870907,460036.0788288944
1,PASARIBUTOBING,413,221740.69690870907,456436.0788288944
1,PASARIBUTOBING,58,215604.69690870907,456292.0788288944
1,PASARIBUTOBING,202,219244.69690870907,456308.0788288944
1,PASARIBUTOBING,345,219676.69690870907,458204.0788288944
1,ANDAMDEWI,76,228492.69690870907,435764.0788288944
1,ANDAMDEWI,1,225044.69690870907,429444.0788288944
1,ANDAMDEWI,58,229332.69690870907,435452.0788288944
1,ANDAMDEWI,0,223564.69690870907,430084.0788288944
1,ANDAMDEWI,17,226532.69690870907,431756.0788288944
1,ANDAMDEWI,30,228140.69690870907,429316.0788288944
1,ANDAMDEWI,56,230036.69690870907,433188.0788288944
1,ANDAMDEWI,16,232284.69690870907,428940.0788288944
1,SITAHUIS,500,195964.69690870907,480180.0788288944
1,SITAHUIS,228,192500.69690870907,484196.0788288944
1,SITAHUIS,612,200028.69690870907,480292.0788288944
1,SITAHUIS,198,205244.69690870907,477156.0788288944
1,SITAHUIS,637,199124.69690870907,481684.0788288944
1,SITAHUIS,526,199164.69690870907,482316.0788288944
1,SITAHUIS,497,193876.69690870907,484684.0788288944
1,SITAHUIS,256,192468.69690870907,484284.0788288944
0,BARUS UTARA,76,227700.69690870907,435132.0788288944
0,BARUS UTARA,88,225524.69690870907,435044.0788288944
0,BARUS UTARA,103,227356.69690870907,435852.0788288944
0,BARUS UTARA,69,227980.69690870907,434612.0788288944
0,BARUS UTARA,37,227316.69690870907,433516.0788288944
0,BARUS UTARA,122,227540.69690870907,439372.0788288944
0,BARUS UTARA,71,225388.69690870907,436076.0788288944
0,BARUS UTARA,205,226676.69690870907,437796.0788288944
0,BARUS UTARA,39,225460.69690870907,437468.0788288944
0,BARUS UTARA,30,226036.69690870907,434532.0788288944
0,BARUS UTARA,138,225372.69690870907,435420.0788288944
0,BARUS UTARA,197,226092.69690870907,438460.0788288944
0,BARUS UTARA,9,224940.69690870907,434372.0788288944
0,BARUS UTARA,19,226932.69690870907,433476.0788288944
0,BARUS UTARA,276,225532.69690870907,438980.0788288944
0,BARUS UTARA,44,226988.69690870907,433836.0788288944
0,BARUS UTARA,97,228100.69690870907,437644.0788288944
0,BARUS UTARA,25,226284.69690870907,434060.0788288944
0,BARUS UTARA,204,225300.69690870907,438956.0788288944
0,BARUS UTARA,32,226132.69690870907,436500.0788288944
0,BARUS UTARA,80,227972.69690870907,437100.0788288944
0,BARUS UTARA,119,227316.69690870907,437620.0788288944
0,BARUS UTARA,13,225460.69690870907,433988.0788288944
0,BARUS UTARA,17,226444.69690870907,433708.0788288944
0,BARUS UTARA,34,226524.69690870907,436316.0788288944
0,SIRANDORUNG,0,224284.69690870907,418924.0788288944
0,SIRANDORUNG,0,224276.69690870907,418956.0788288944
0,SIRANDORUNG,0,224308.69690870907,418956.0788288944
0,SIRANDORUNG,0,224268.69690870907,418940.0788288944
0,SIRANDORUNG,0,224268.69690870907,418948.0788288944
0,SIRANDORUNG,0,224284.69690870907,418916.0788288944
0,SIRANDORUNG,0,224284.69690870907,418940.0788288944
0,SIRANDORUNG,0,224276.69690870907,418972.0788288944
0,SIRANDORUNG,0,224284.69690870907,418964.0788288944
0,SIRANDORUNG,0,224284.69690870907,418956.0788288944
0,SIRANDORUNG,0,224292.69690870907,418964.0788288944
0,SIRANDORUNG,0,224292.69690870907,418956.0788288944
0,SIRANDORUNG,0,224260.69690870907,418956.0788288944
0,SIRANDORUNG,0,224276.69690870907,418964.0788288944
0,SIRANDORUNG,0,224276.69690870907,418948.0788288944
0,SIRANDORUNG,0,224300.69690870907,418956.0788288944
0,SIRANDORUNG,0,224276.69690870907,418924.0788288944
0,SIRANDORUNG,0,224284.69690870907,418932.0788288944
0,SIRANDORUNG,0,224276.69690870907,418932.0788288944
0,SIRANDORUNG,0,224292.69690870907,418948.0788288944
0,SIRANDORUNG,0,224300.69690870907,418964.0788288944
0,SIRANDORUNG,0,224276.69690870907,418940.0788288944
0,SIRANDORUNG,0,224300.69690870907,418940.0788288944
0,SIRANDORUNG,0,224260.69690870907,418948.0788288944
0,SIRANDORUNG,0,224284.69690870907,418948.0788288944
0,SIRANDORUNG,0,224308.69690870907,418892.0788288944
0,SIRANDORUNG,0,224300.69690870907,418892.0788288944
0,SIRANDORUNG,0,224300.69690870907,418900.0788288944
0,SIRANDORUNG,0,224260.69690870907,419116.0788288944
0,SIRANDORUNG,0,224220.69690870907,419124.0788288944
0,SIRANDORUNG,0,224260.69690870907,419076.0788288944
0,SIRANDORUNG,0,224228.69690870907,419068.0788288944
0,SIRANDORUNG,0,224244.69690870907,419116.0788288944
0,SIRANDORUNG,0,224172.69690870907,419124.0788288944
0,SIRANDORUNG,0,224236.69690870907,419140.0788288944
0,SIRANDORUNG,0,224220.69690870907,419148.0788288944
0,SIRANDORUNG,0,224260.69690870907,419140.0788288944
0,SIRANDORUNG,0,224180.69690870907,419132.0788288944
0,SIRANDORUNG,0,224188.69690870907,419124.0788288944
0,SIRANDORUNG,0,224228.69690870907,419060.0788288944
0,SIRANDORUNG,0,224236.69690870907,419068.0788288944
0,SIRANDORUNG,1,224292.69690870907,419044.0788288944
0,SIRANDORUNG,0,224228.69690870907,419124.0788288944
0,SIRANDORUNG,0,224252.69690870907,419060.0788288944
0,SIRANDORUNG,-1,224236.69690870907,419156.0788288944
0,SIRANDORUNG,0,224276.69690870907,419060.0788288944
0,SIRANDORUNG,0,224276.69690870907,419068.0788288944
0,SIRANDORUNG,0,224260.69690870907,419092.0788288944
0,SIRANDORUNG,0,224260.69690870907,419084.0788288944
0,SIRANDORUNG,0,224196.69690870907,419124.0788288944
0,SIRANDORUNG,0,224284.69690870907,419060.0788288944
0,SIRANDORUNG,0,224212.69690870907,419116.0788288944
0,SIRANDORUNG,1,224284.69690870907,419036.0788288944
0,SIRANDORUNG,0,224332.69690870907,418900.0788288944
0,SIRANDORUNG,0,224324.69690870907,418908.0788288944
0,SIRANDORUNG,0,224324.69690870907,418916.0788288944
0,SIRANDORUNG,0,224316.69690870907,418924.0788288944
0,SIRANDORUNG,0,224332.69690870907,418908.0788288944
0,SIRANDORUNG,0,224340.69690870907,418948.0788288944
0,SIRANDORUNG,0,224340.69690870907,418940.0788288944
0,SIRANDORUNG,0,224348.69690870907,418948.0788288944
0,SIRANDORUNG,0,224332.69690870907,418940.0788288944
0,SIRANDORUNG,0,224332.69690870907,418932.0788288944
0,SIRANDORUNG,0,224332.69690870907,418956.0788288944
0,SIRANDORUNG,0,224324.69690870907,418956.0788288944
0,SIRANDORUNG,1,224340.69690870907,418932.0788288944
0,SIRANDORUNG,0,224340.69690870907,418924.0788288944
0,SIRANDORUNG,0,224332.69690870907,418948.0788288944
0,SIRANDORUNG,0,224340.69690870907,418956.0788288944
0,SIRANDORUNG,0,224324.69690870907,418948.0788288944
0,SIRANDORUNG,0,224348.69690870907,418908.0788288944
0,SIRANDORUNG,28,235716.69690870907,419308.0788288944
0,SIRANDORUNG,22,231748.69690870907,427036.0788288944
0,SIRANDORUNG,3,228764.69690870907,424356.0788288944
0,SIRANDORUNG,2,228780.69690870907,421500.0788288944
0,SIRANDORUNG,528,236676.69690870907,430212.0788288944
0,SIRANDORUNG,33,233500.69690870907,429412.0788288944
0,SIRANDORUNG,3,226844.69690870907,419236.0788288944
0,SIRANDORUNG,3,229244.69690870907,418164.0788288944
0,SIRANDORUNG,96,236876.69690870907,424404.0788288944
0,SIRANDORUNG,49,234260.69690870907,424276.0788288944
0,SIRANDORUNG,1,229124.69690870907,424684.0788288944
0,SIRANDORUNG,26,229668.69690870907,428436.0788288944
0,SIRANDORUNG,0,227764.69690870907,420196.0788288944
0,SIRANDORUNG,2,232356.69690870907,419636.0788288944
0,SIRANDORUNG,3,228668.69690870907,417748.0788288944
0,SIRANDORUNG,28,234628.69690870907,420772.0788288944
0,SIRANDORUNG,2,226844.69690870907,425828.0788288944
0,SIRANDORUNG,18,230516.69690870907,423748.0788288944
0,SIRANDORUNG,256,236564.69690870907,425548.0788288944
0,SIRANDORUNG,1,231748.69690870907,420324.0788288944
0,SIRANDORUNG,34,233996.69690870907,421916.0788288944
0,SIRANDORUNG,-1,230852.69690870907,419884.0788288944
0,SIRANDORUNG,4,228636.69690870907,417924.0788288944
0,SIRANDORUNG,512,239588.69690870907,427532.0788288944
0,SIRANDORUNG,4,229252.69690870907,426308.0788288944
0,SORKAM BARAT,-5,212316.69690870907,444908.0788288944
0,SORKAM BARAT,-5,212276.69690870907,444884.0788288944
0,SORKAM BARAT,-5,212284.69690870907,444892.0788288944
0,SORKAM BARAT,-5,212316.69690870907,444884.0788288944
0,SORKAM BARAT,-5,212276.69690870907,444876.0788288944
0,SORKAM BARAT,-5,212308.69690870907,444892.0788288944
0,SORKAM BARAT,-5,212324.69690870907,444876.0788288944
0,SORKAM BARAT,-5,212324.69690870907,444908.0788288944
0,SORKAM BARAT,-5,212292.69690870907,444876.0788288944
0,SORKAM BARAT,-5,212316.69690870907,444868.0788288944
0,SORKAM BARAT,-5,212300.69690870907,444884.0788288944
0,SORKAM BARAT,-5,212316.69690870907,444892.0788288944
0,SORKAM BARAT,-5,212292.69690870907,444884.0788288944
0,SORKAM BARAT,-5,212284.69690870907,444868.0788288944
0,SORKAM BARAT,-5,212308.69690870907,444900.0788288944
0,SORKAM BARAT,-6,212340.69690870907,444908.0788288944
0,SORKAM BARAT,-5,212300.69690870907,444876.0788288944
0,SORKAM BARAT,-5,212316.69690870907,444900.0788288944
0,SORKAM BARAT,-5,212276.69690870907,444892.0788288944
0,SORKAM BARAT,-5,212308.69690870907,444884.0788288944
0,SORKAM BARAT,-5,212324.69690870907,444892.0788288944
0,SORKAM BARAT,-5,212284.69690870907,444876.0788288944
0,SORKAM BARAT,-5,212300.69690870907,444892.0788288944
0,SORKAM BARAT,-6,212324.69690870907,444868.0788288944
0,SORKAM BARAT,-5,212292.69690870907,444900.0788288944
0,SORKAM BARAT,-6,212804.69690870907,445252.0788288944
0,SORKAM BARAT,-5,212860.69690870907,445252.0788288944
0,SORKAM BARAT,-6,212948.69690870907,445276.0788288944
0,SORKAM BARAT,-5,212708.69690870907,445188.0788288944
0,SORKAM BARAT,-5,212764.69690870907,445220.0788288944
0,SORKAM BARAT,-5,212700.69690870907,445180.0788288944
0,SORKAM BARAT,-5,212708.69690870907,445172.0788288944
0,SORKAM BARAT,-5,212796.69690870907,445236.0788288944
0,SORKAM BARAT,-5,212812.69690870907,445228.0788288944
0,SORKAM BARAT,-5,212660.69690870907,445148.0788288944
